input_name,input_value,notes
contracts_per_month,20,Average contracts scanned monthly
audit_hourly_rate_usd,250,External or internal security review blended rate
hours_saved_per_contract,3.5,Reduction in manual triage time due to pre-scan
critical_incidents_avoided_per_quarter,1,Estimated severe issue prevented pre-deploy
estimated_cost_per_critical_incident_usd,45000,Incident response plus remediation plus delay impact
monthly_platform_cost_usd,299,Team plan placeholder

metric,formula,example_value
monthly_time_savings_usd,contracts_per_month*audit_hourly_rate_usd*hours_saved_per_contract,17500
quarterly_incident_avoidance_usd,critical_incidents_avoided_per_quarter*estimated_cost_per_critical_incident_usd,45000
quarterly_platform_cost_usd,monthly_platform_cost_usd*3,897
quarterly_net_roi_usd,quarterly_incident_avoidance_usd+(monthly_time_savings_usd*3)-quarterly_platform_cost_usd,96603
